epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,106.2,0.5859,1.04665,1.04371,0.96825,0.98871,0.995,0.87842,0.50779,1.74789,1.00366,0.000376057,0.000376057,0.000376057
69,107.922,0.5466,0.8453,1.01184,0.96901,0.99078,0.995,0.86765,0.50851,1.61985,0.96964,0.000370447,0.000370447,0.000370447
70,109.481,0.58194,0.83132,1.00012,0.96901,0.99078,0.995,0.86765,0.50851,1.61985,0.96964,0.000364508,0.000364508,0.000364508
71,110.806,0.53582,0.78743,0.98381,0.96901,0.99078,0.995,0.86765,0.50851,1.61985,0.96964,0.000358238,0.000358238,0.000358238
72,112.302,0.58643,0.92882,1.01137,0.97514,0.99913,0.995,0.87,0.53157,1.526,0.97713,0.000351639,0.000351639,0.000351639
73,113.839,0.67511,0.83809,1.1172,0.97514,0.99913,0.995,0.87,0.53157,1.526,0.97713,0.000344709,0.000344709,0.000344709
74,115.234,0.55719,0.86179,1.03061,0.97514,0.99913,0.995,0.87,0.53157,1.526,0.97713,0.000337449,0.000337449,0.000337449
75,116.691,0.51248,0.82822,0.98285,0.97208,1,0.995,0.87866,0.52791,1.43608,0.97062,0.000329859,0.000329859,0.000329859
76,118.054,0.51613,0.83283,0.98176,0.97208,1,0.995,0.87866,0.52791,1.43608,0.97062,0.000321939,0.000321939,0.000321939
77,119.742,0.56829,0.79366,1.01249,0.97208,1,0.995,0.87866,0.52791,1.43608,0.97062,0.000313689,0.000313689,0.000313689
78,121.326,0.54656,0.91118,0.97442,0.98003,0.99965,0.995,0.8878,0.49701,1.35043,0.95038,0.000305109,0.000305109,0.000305109
79,123.077,0.57056,0.91591,1.05265,0.98003,0.99965,0.995,0.8878,0.49701,1.35043,0.95038,0.000296199,0.000296199,0.000296199
80,124.489,0.67912,0.94864,1.15185,0.98003,0.99965,0.995,0.8878,0.49701,1.35043,0.95038,0.000286959,0.000286959,0.000286959
81,126.095,0.61883,0.92268,1.09813,0.98435,0.99615,0.995,0.91392,0.44084,1.26793,0.89316,0.000277389,0.000277389,0.000277389
82,127.514,0.6812,1.01172,1.13263,0.98435,0.99615,0.995,0.91392,0.44084,1.26793,0.89316,0.000267488,0.000267488,0.000267488
83,128.927,0.5422,0.83675,1.05089,0.98435,0.99615,0.995,0.91392,0.44084,1.26793,0.89316,0.000257258,0.000257258,0.000257258
84,130.848,0.55133,0.80257,0.98452,0.97989,0.99383,0.995,0.92853,0.42282,1.18919,0.87351,0.000246698,0.000246698,0.000246698
85,132.261,0.60627,0.85267,0.99001,0.97989,0.99383,0.995,0.92853,0.42282,1.18919,0.87351,0.000235807,0.000235807,0.000235807
86,133.65,0.44103,0.67828,0.94591,0.97989,0.99383,0.995,0.92853,0.42282,1.18919,0.87351,0.000224587,0.000224587,0.000224587
87,135.067,0.49943,0.83227,0.98143,0.97989,0.99383,0.995,0.92853,0.42282,1.18919,0.87351,0.000213036,0.000213036,0.000213036
88,137.021,0.56266,0.77193,1.00376,0.98767,0.99467,0.995,0.92467,0.40407,1.11613,0.86042,0.000201155,0.000201155,0.000201155
89,138.407,0.70193,1.01372,1.0342,0.98767,0.99467,0.995,0.92467,0.40407,1.11613,0.86042,0.000188944,0.000188944,0.000188944
90,140.056,0.52139,0.84376,1.02051,0.98767,0.99467,0.995,0.92467,0.40407,1.11613,0.86042,0.000176404,0.000176404,0.000176404
91,141.696,0.43294,0.93522,1.06676,0.98767,0.99467,0.995,0.92467,0.40407,1.11613,0.86042,0.000163533,0.000163533,0.000163533
92,143.501,0.45489,1.07638,1.02198,0.98255,1,0.995,0.93258,0.37754,1.04625,0.84879,0.000150332,0.000150332,0.000150332
93,144.885,0.42632,0.93841,0.85323,0.98255,1,0.995,0.93258,0.37754,1.04625,0.84879,0.000136801,0.000136801,0.000136801
94,146.257,0.4071,0.93595,0.87512,0.98255,1,0.995,0.93258,0.37754,1.04625,0.84879,0.00012294,0.00012294,0.00012294
95,147.729,0.31944,0.85687,0.83659,0.98255,1,0.995,0.93258,0.37754,1.04625,0.84879,0.000108748,0.000108748,0.000108748
96,149.678,0.33571,0.88707,0.87141,0.98012,1,0.995,0.93978,0.36116,1.00888,0.83721,9.42272e-05,9.42272e-05,9.42272e-05
97,151.074,0.34668,0.87886,0.91791,0.98012,1,0.995,0.93978,0.36116,1.00888,0.83721,7.93759e-05,7.93759e-05,7.93759e-05
98,152.443,0.36417,0.95385,0.94239,0.98012,1,0.995,0.93978,0.36116,1.00888,0.83721,6.41945e-05,6.41945e-05,6.41945e-05
99,153.826,0.35894,0.8632,0.86509,0.98012,1,0.995,0.93978,0.36116,1.00888,0.83721,4.86831e-05,4.86831e-05,4.86831e-05
100,155.936,0.33984,0.84463,0.88616,0.97939,1,0.995,0.93653,0.35102,0.97749,0.83154,3.28416e-05,3.28416e-05,3.28416e-05
